NOM,ADRESSE,NOTE,FOURCHETTE DE PRIX
Bistrot des Vosges,"31 Boulevard Beaumarchais Bastille/Marais, 75004 Paris France","4,5",14€ - 45€
L'Italien,"40 rue de Ponthieu, 75008 Paris France","4,5",14€ - 50€
Fanfan,"18 Rue Bayen, 75017 Paris France","4,5",35€ - 95€
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Le Cornichon,"34 Rue Gassendi, 75014 Paris France","4,5",35€ - 55€
Les Rupins,"35 boulevard de Magenta Angle Boulevard de Magenta et Rue de Nancy, 75010 Paris France","4,5",20€ - 40€
Via Del Campo,"22 rue du Champ de Mars Numero de la suite, intersection, place, 75007 Paris France","5,0",25€ - 80€
Sola,"12 Rue de l'Hotel Colbert, 75005 Paris France","4,5",98€ - 150€
Pottoka,"4 Rue de l' Exposition, 75007 Paris France","4,5","Française, Européenne, Saine"
Restaurant Karma,"24 rue Traversiere, 75012 Paris France","4,5",10€ - 20€
IZU,"7 rue Véronèse, 75013 Paris France","4,5",8€ - 35€
Maison Rostang,"20,Rue Rennequin, 75017 Paris France","4,5",90€ - 285€
Kémia paris,"1 rue Bergere, 75009 Paris France","5,0",25€ - 45€
L'Ange 20 Restaurant,"44 Rue des Tournelles, 75004 Paris France","4,5",38€ - 42€
Astair,"19 Passage des Panoramas Intersection entre la Galerie des Variétés et le Passage des Panoramas, 75002 Paris France","4,5",20€ - 50€
Palais du Bonheur,"131 Rue Michel-Ange, 75016 Paris France","4,5",15€ - 35€
Le Barav,"6 rue Charles Francois Dupuis, 75003 Paris France","4,5","Française, Bar à vins"
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Le Sagittaire,"77 rue Lamarck, 75018 Paris France","4,5","Française, Européenne"
Meriggio,"3 Rue Rougemont, 75009 Paris France","4,5",18€ - 45€
Et Toque !,"7 rue Emile Duclaux, 92150 Suresnes France","4,5",19€ - 60€
Baosian,"67 Rue du Faubourg Montmartre, 75009 Paris France","5,0",10€ - 20€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
Le Ruisseau Burger Joint,"22 rue Rambuteau, 75003 Paris France","4,5",10€ - 15€
Le Taillevent,"15 Rue Lamennais, 75008 Paris France","4,5",52€ - 110€
Colvert,"30 Rue des Grands Augustins, 75006 Paris France","4,5",29€ - 60€
Étude,"14 rue du Bouquet de Longchamp, 75116 Paris France","4,5",75€ - 160€
A Côté,"16 Rue La Fayette, 75009 Paris France","4,5",70€ - 180€
Papajazzclub,"3, Rue Saint Benoit, 75006 Paris France","4,5",26€ - 60€
Kuccini,"165 Rue St Denis, 75002 Paris France","4,5",9€ - 29€
Le Jeroboam,"72 rue Didot, 75014 Paris France","4,5",10€ - 30€
Le Bayadère,"35 rue de Berri, 75008 Paris France","5,0",27€ - 34€
Le Chefson,"17 rue Charles Chefson, 92270 Bois Colombes France","4,5","Française, Européenne"
Redd,"28 rue Saint Sauveur, 75002 Paris France","4,5",3€ - 30€
La Vittoria,"173 Rue du Temple, 75003 Paris France","5,0",12€ - 20€
Neva Cuisine,"2 Rue de Berne, 75008 Paris France","4,5",Française
Le Colimaçon,"44, rue Vieille du Temple Le Marais, 75004 Paris France","4,5",49€ - 79€
Fanfan,"18 Rue Bayen, 75017 Paris France","4,5",35€ - 95€
Le Petit Baigneur,"10 rue de la Sabliere, 75014 Paris France","4,5","Française, Européenne, Saine"
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Damigiana,"56 rue Jean Jacques Rousseau, 75001 Paris France","4,5",16€ - 50€
Salento Marais,"6 rue de Jarente, 75004 Paris France","4,5",14€ - 35€
Assanabel,"6 rue d Alesia, 75014 Paris France","4,5","Libanaise, Méditerranéenne, Moyen-Orient"
Gelateria Verdi Pizza Parma,"1 rue du General Gallieni, 93110 Rosny-sous-Bois France","4,5","Italienne, Pizza"
Les Bougresses,"6 rue de Jarente, 75004 Paris France","4,5","Française, Européenne"
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France","4,0",20€ - 47€
Shiro,"168 Boulevard Saint-Germain, 75006 Paris France","4,5",Japonaise
Tifinagh Restaurant,"17 avenue Rachel, 75018 Paris France","4,5","Française, Européenne"
Il Modigliani,"172 rue du Faubourg Saint Antoine, 75012 Paris France","4,5","Italienne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud, Européenne"
Racines Des Près,"1 rue de Gribeauval, 75007 Paris France","4,5","Française, Européenne"
Le Pré Catelan,"Route De Suresnes - Bois De Boulogne, 75116 Paris France","4,5","Française, Européenne"
Phillipe Excoffier,"18 Rue de l'Exposition, 75007 Paris France","4,5",29€ - 65€
La Petite Auberge,"13 rue du Hameau, 75015 Paris France","4,5","Française, Européenne"
Da Franco,"21 Rue Ruhmkorff, 75017 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
Restaurant Gastronomique Louis,"23 Rue de la Victoire, 75009 Paris France","4,5",45€ - 117€
Chez Quyen-Chi,"53 avenue de la Division Leclerc A côté de la caserne des pompiers sur la nationale 20, 92160 Antony France","5,0",10€ - 30€
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France","4,0",10€ - 25€
Les Saveurs d'Abyssinie,"1, Rue de L'Arbalete, 75005 Paris France","4,5",12€ - 17€
CHEZ MAXENCE,"52 Rue Legendre, 75017 Paris France","4,5","Française, Européenne"
Léandrés  Happy Food & Coffee,"78 Rue de Maubeuge Façade Bleu, 75009 Paris France","5,0",9€ - 19€
Au Doux Raisin,"29 rue Descartes, 75005 Paris France","4,5","Française, Européenne, Bar à vins"
Oi Sushi,"8 Rue Mouffetard, 75005 Paris France","4,5",8€ - 20€
Freddy's,"54 Rue de Seine, 75006 Paris France","4,5","Française, Européenne, Bar à vins"
Crêperie Gigi,"4 Rue de la Corderie, 75003 Paris France","4,5",15€ - 30€
Le Vaisseau Vert,"10, Rue de Parme, 75009 Paris France","4,5",17€ - 50€
Alléno Paris,"8 Avenue Dutuit Champs-Élysées, 75008 Paris France","4,5",275€ - 387€
Il Farniente,"1 rue Paul Fort, 75014 Paris France","4,5",15€ - 30€
La Vittoria,"173 Rue du Temple, 75003 Paris France","5,0",12€ - 20€
Frederic Simonin,"25 rue Bayen, 75017 Paris France","4,5",75€ - 150€
Les Embruns,"8 rue de Lyon, 75012 Paris France","4,5","Française, Européenne"
Galette Café,"2 Rue de l'Université Saint Germain des Près, 75007 Paris France","4,5",7€ - 15€
A La Maison,"128 Avenue du General de Gaulle ., 94500 Champigny-sur-Marne France","4,5",19€ - 33€
L'Oiseau Blanc Restaurant,"19 avenue Kleber 6ème Etage, 75116 Paris France","4,5",75€ - 185€
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Auberge des Arcades,"134 Avenue du Général Leclerc, 78220 Viroflay, Versailles France","4,5","Française, Bar, Européenne"
Lylee,"4 rue Beaugrenelle intersection Rue Linois, 75015 Paris France","5,0",10€ - 15€
Circonstances,"174 rue Montmartre, 75002 Paris France","4,5","Française, Européenne"
Le Physalis,"47, avenue Henri Ginoux, 92120 Montrouge France","4,0",27€ - 33€
Le Potager de Charlotte,"12 Rue de la Tour d'Auvergne, 75009 Paris France","4,5","Française, Européenne, Saine"
Don Giovanni,"11 Place du General de Gaulle, 92330 Sceaux France","4,0",21€ - 48€
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France","4,0",20€ - 47€
Nossa Churrasqueira,"1 Rue de l'Ecole Polytechnique, 75005 Paris France","4,5",8€ - 15€
Sizin,"47 rue Saint Georges, 75009 Paris France","4,5","Méditerranéenne, Turque, Moyen-Orient"
Le Butcher,"36 Rue de Berri, 75008 Paris France","4,5",9€ - 17€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Le Saint Joseph,"100 boulevard de la Republique, 92250 La Garenne-Colombes France","4,5",20€ - 45€
Le Refuge du Passé,"32 Rue du Fer A Moulin Les Gobelins, 75005 Paris France","4,5",17€ - 50€
Le Concert de Cuisine,"14 rue Nelaton, 75015 Paris France","4,5","Japonaise, Asiatique"
La Petite Bretonne,"48 rue Mouffetard Métro: Monge ou Cardinal Lemoine, 75005 Paris France","4,5",12€ - 20€
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Di Carla,"4, avenue Carnot, 75017 Paris France","4,5",15€ - 22€
Bistro du terroir,"21 avenue de la Paix, 94260 Fresnes France","4,5",14€ - 29€
Le Petit Marché,"9 Rue de Béarn, 75003 Paris France","4,5","Française, Européenne, Fusion"
Le Petit Medicis,"13 Rue de Medicis Numero de la Suite, Intersection, Place, 75006 Paris France","4,5",15€ - 28€
Chez Léon,"32 Rue Legendre, 75017 Paris France","4,5",17€ - 32€
Siseng,"82 quai de Jemmapes, 75010 Paris France","4,5","Asiatique, Thaï, Saine"
L'estrapade,"15 Rue Estrapade, 75005 Paris France","4,5",20€ - 55€
Under The Sea Restaurant - Ephemera,"160 Avenue De France, 75013 Paris France","4,5",7€ - 14€
Les Enfants Perdus,"9 Rue des Recollets, 75010 Paris France","4,5","Française, Européenne"
Restaurant Chinois Di-Choulie A Paris,"11 rue Primatice A 2 Min. A Pied de la Place D'italie a Paris 13eme, 75013 Paris France","4,5","Chinoise, Asiatique"
La Vittoria,"173 Rue du Temple, 75003 Paris France","5,0",12€ - 20€
Hugo,"12 Rue Papillon, 75009 Paris France","4,5",16€ - 30€
Magokoro,"33 Rue Lamartine, 75009 Paris France","4,5","Japonaise, Asiatique"
Bien Eleve,"47 Rue Richer, 75009 Paris France","4,5",14€ - 50€
Le Baudelaire,"6-8 Rue Duphot, 75001 Paris France","4,5",42€ - 145€
Au Bon Coin,"21 Rue de la Collegiale Gobelins, 75005 Paris France","4,5",20€ - 37€
Pizzawawa,"35 rue Saint Honore, 75001 Paris France","4,5",20€ - 38€
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Le Café de Mars,"11 Rue Augereau, 75007 Paris France","4,5",21€ - 35€
Thai Papaya,"51 rue des 5 Diamants, 75013 Paris France","4,5","Asiatique, Thaï"
Sanukiya,"9 rue d Argenteuil, 75001 Paris France","4,5","Japonaise, Asiatique"
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France","0,0",Française
Le Saigon d'Antan,"rue Monsieur le Prince, 75006 Paris France","4,5",15€ - 25€
Moustache,"3, rue Sainte-Beuve A côté du quartier Vavin et du théâtre du Lucernaire, proche Montparnasse et Jardin du Luxembourg, 75006 Paris France","4,5",25€ - 50€
Restaurant Florina,"47 boulevard de Port Royal, 75013 Paris France","5,0",18€ - 44€
Kaplan Paris,"20 Rue Cherche Midi, 75006 Paris France","5,0",10€ - 25€
Les Botanistes,"11 B rue Chomel, 75007 Paris France","4,5","Française, Européenne"
Au fil des saisons,"6, Rue des Fontaines du Temple, 75003 Paris France","4,5",25€ - 29€
L'Antre Amis,"9 Rue Bouchut, 75015 Paris France","4,5",34€ - 50€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Da Franco,"21 Rue Ruhmkorff, 75017 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
L'Iliade,"59 rue de Belleville, 75019 Paris France","4,5","Méditerranéenne, Européenne, Turque, Grecque"
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Caius,"6 rue d Armaille, 75017 Paris France","4,5","Française, Européenne"
Janna,"13 Rue Denis Poisson, 75017 Paris France","4,5","Libanaise, Méditerranéenne, Moyen-Orient"
Restaurant David Toutain,"29 rue Surcouf, 75007 Paris France","4,5",150€ - 290€
Elmer,"30 rue Notre Dame de Nazareth, 75003 Paris France","4,5",35€ - 65€
Ayako Teppanyaki,"67 rue de l ouest, 75014 Paris France","4,5",Japonaise
Le Pavillon de la Grande Cascade,"Allée de Longchamp Bois de Boulogne, 75116 Paris France","4,5",80€ - 237€
Bustronome PARIS,"2 avenue Kleber, 75116 Paris France","4,5",70€ - 150€
Au Petit Riche,"25 Rue le Peletier 75009, 75009 Paris France","4,0",26€ - 50€
Karamna,"77 rue Boissiere, 75116 Paris France","5,0",6€ - 23€
L'Astrance,"32 rue de Longchamp, 75016 Paris France","4,5",90€ - 370€
Le Sens Unique,"47 Rue de Ponthieu, 75008 Paris France","4,5",20€ - 50€
Le Hide,"10 Rue du General Lanrezac, 75017 Paris France","4,5",Française
Les Climats,"41 Rue de Lille, 75007 Paris France","4,5",36€ - 150€
6 New York,"6 Avenue de New York, 75016 Paris France","4,5",30€ - 70€
Hugo&Co,"48 Rue Monge, 75005 Paris France","4,5",20€ - 42€
Prive de dessert Aligre,"7 rue Theophile Roussel, 75012 Paris France","4,5",14€ - 35€
Spiga,"4 rue Parrot, 75012 Paris France","4,5",6€ - 22€
Caffe Stern,"47 Passage des Panoramas, 75002 Paris France","4,5","Italienne, Méditerranéenne, Européenne"
Nomicos (ex- Les Tablettes),"16 avenue Bugeaud, 75116 Paris France","4,5","Française, Européenne"
Verjus,"52 rue de Richelieu dans le passage Beaujolais, 75001 Paris France","4,5","Française, Européenne, Moderne"
L'Ebauchoir,"43 rue Citeaux, 75012 Paris France","4,5",13€ - 45€
Les Inséparables,"12, Rue Francoeur Metro Jules Joffrin ou Lamarck Caulaincourt, 75018 Paris France","4,5",25€ - 40€
Oplato,"69 rue de Charonne, 75011 Paris France","4,5",9€ - 47€
Restaurant Clémentine,"5, rue St.-Marc, 75002 Paris France","4,5",25€ - 50€
Del Pozzo,"2 avenue de Paris, 94300 Vincennes France","4,5",Méditerranéenne
New Balal,"25 rue Taitbout, 75009 Paris France","4,5",20€ - 25€
Dandy Kitchen,"86 rue Saint Denis Dandy Hotel & Kitchen, 75001 Paris France","4,0",22€ - 51€
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France","0,0",Française
Qui Plume La Lune,"50 Rue Amelot, 75011 Paris France","4,5",45€ - 130€
Creperie Paris Breizh Daumesnil,"177 avenue Daumesnil, 75012 Paris France","4,5",15€ - 22€
Le Coryllis,"85 Rue Martyrs 85 rue des Martyrs, 75018, Paris, Île-de-France, 75018 Paris France","4,5",13€ - 35€
Distrito Frances,"10, Rue du Faubourg Saint Martin Restaurant Distrito Francés, 75010 Paris France","4,5",6€ - 24€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Rouge Bis,"7 Place Blanche 2 Rue de Bruxelles, 75009 Paris France","4,5",20€ - 25€
La Cantina,"11 Rue Claude Terrasse, 75016 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Napolitaine, Campanie, Toscane, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
Kheak & Véro,"1 rue Alexandre Parodi, 75010 Paris France","4,5","Asiatique, Thaï, Vietnamienne"
Cedars,"101 Avenue Jean Jaurès, 75019 Paris France","4,5",9€ - 14€
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Guibine,"44 rue Sainte Anne, 75002 Paris France","4,5",21€ - 62€
A la Biche au bois,"45 Avenue Ledru-Rollin Metro Gare de Lyon sortie numero 1, 75012 Paris France","4,5",19€ - 37€
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France","4,0",10€ - 25€
La Gazette,"28 Rue Duret, 75116 Paris France","4,5",22€ - 75€
Le Triskell,"17, Avenue Albert 1er, 95600 Eaubonne France","4,5",10€ - 30€
Le Refuge des Moines,"85 rue des Moines, 75017 Paris France","4,5",20€ - 26€
Ty Galettes,"218 rue de Vaugirard, 75015 Paris France","5,0",9€ - 15€
RoofTop Molitor,"6, avenue de la Porte Molitor, 75016 Paris France","4,0","Française, Européenne"
Ristorante Pizzeria Doni,"45 avenue Paul Doumer, 93330 Neuilly-sur-Marne France","4,5",Italienne
Wrap 'N Roll Sushi,"10 rue de Budapest, 75009 Paris France","4,5","Japonaise, Sushi, Asiatique"
BAĀGAĀ Trocadéro,"54 rue de Longchamp, 75116 Paris France","4,5",12€ - 20€
L'Escargot 1903,"18 Rue Charles Lorilleux, 92800 Puteaux, La Defense France","4,5",30€ - 80€
La Vache Acrobate,"rue Amelot, 75011 Paris France","4,5",27€ - 34€
Tentazioni,"86 Bis Rue Lepic métro ligne 12 : Abbesses, Lamarck-Caulaincourt ; métro ligne 2 : Blanche, Pigalle, 75018 Paris France","4,5",21€ - 34€
Kitsmé,"76 Rue Des Vignoles, 75020 Paris France",,"Japonaise, Sushi, Asiatique, Brasserie gastronomique, Magasin de douceurs japonaises"
Sorza,"51 Rue Saint Louis, 75004 Paris France","4,5",20€ - 50€
Villa Verdi,"42 B avenue de Suffren, 75015 Paris France","4,5",10€ - 30€
Bissac,"10, Rue de la Bourse 10, Rue de la Bourse, 75002 Paris France","4,5",19€ - 50€
Melt Oberkampf,"74 Rue de la Folie Méricourt, 75011 Paris France","4,5",15€ - 35€
The Hardware Societe Paris,"10 rue Lamarck, 75018 Paris France","4,5","Café, Internationale, Européenne, Australienne"
Sesame & Sel,"11 B rue Roger Salengro 94270, 94270 Le Kremlin-Bicêtre France","4,5","Asiatique, Coréenne"
Eggs & Co,"11 rue Bernard Palissy, 75006 Paris France","4,5","Française, Européenne, Saine"
Obel Mamma,"5 Rue Carnot, 95160 Montmorency France","5,0","Italienne, Saine, Toscane, Italie du Centre"
Paris Follie's,"74 avenue Kleber, 75116 Paris France","4,5","Française, Bar, Européenne, Brasserie gastronomique"
Les Retrouvailles,"7 rue du Conservatoire Hotel de Nell, 75009 Paris France","4,5",39€ - 39€
Kaplan Paris,"20 Rue Cherche Midi, 75006 Paris France","5,0",10€ - 25€
Chez Germaine,"30 rue Pierre Leroux, 75007 Paris France","4,5",18€ - 50€
Bistrot Chic,"54 Av. Félix Faure, 75015 Paris France","4,5","Française, Saine, Café, Européenne, Pub, Brasserie gastronomique, Bars-restaurants"
L'Express de Lyon,"1 Rue de Lyon, 75012 Paris France","4,5",13€ - 20€
Bonpot,"162 rue Montmartre, 75002 Paris France","4,5",15€ - 25€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Le Verre Galant,"256 rue de la Croix Nivert, 75015 Paris France","4,5",20€ - 30€
L'Echoppe de Paris,"16 Rue Leon Frot, 75011 Paris France","4,5",10€ - 25€
Le Petit Pontoise,"9 rue de Pontoise 9 rue de Pontoise, 75005 Paris France","4,5",29€ - 50€
Da Franco,"21 Rue Ruhmkorff, 75017 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Le Château des Îles,"85 Quai Winston Churchill La Varenne Saint Hilaire, 94210 Saint-Maur-des-Fossés France","4,5",48€ - 78€
Creperie de Port-Manech,"52 Rue du Montparnasse, 75014 Paris France","4,5",9€ - 30€
Dessance,"74 Rue des Archives Proche du Centre Pompidou, 75003 Paris France","4,5",65€ - 120€
Le Pantruche,"3 Rue Victor Masse SouthPi district, 75009 Paris France","4,5",18€ - 35€
Restaurant Thaï Moom Mam,"19 Rue de Mogador, 75009 Paris France","4,5",20€ - 68€
Vice Versa,"71 rue des Voies du Bois, 92700 Colombes France","4,5","Italienne, Méditerranéenne, Européenne"
Pratolina,"11 boulevard de Bonne Nouvelle Transports en commun Metro Bonne nouvelle M8 et M9 Sortie 5, 75002 Paris France","4,5",12€ - 21€
Semilla,"54 Rue de Seine, 75006 Paris France","4,5","Française, Européenne, Saine"
Les Deux Colombes,"4 rue de la Colombe, 75004 Paris France","5,0",12€ - 20€
Tavola Di Gio,"210 boulevard Raspail, 75014 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Toscane, Sicilienne, Italie du Centre, Italie du Sud"
Oh my french burger,"25 Rue Lavoisier, 75008 Paris France","5,0",5€ - 17€
L'Atelier du Marche,"4 Rue Saussier Leroy, 75017 Paris France","4,5",24€ - 49€
Les Fines Gueules,"43 rue croix des petits champs, 75001 Paris France","4,5",28€ - 34€
Restaurant Will,"75 rue Crozatier, 75012 Paris France","4,5","Française, Européenne"
Bensaï,"161, rue du Faubourg Saint-Honoré, 75008 Paris France","4,5",20€ - 50€
Le Ruisseau,"65 rue du Ruisseau, 75018 Paris France","4,5",Américaine
Restaurant Diwali,"21 Avenue de Colmar, 92500 Rueil-Malmaison France","4,5",28€ - 46€
Via del Gusto,"344 Rue de Vaugirard, 75015 Paris France","4,5",10€ - 26€
Café Bolivar,"31 avenue Secrétan, 75019 Paris France","4,5",18€ - 33€
CORETTA,"151 Bis Rue Cardinet 151 Bis rue Cardinet, 75017 Paris France","4,5",29€ - 52€
Chez Tony,"34 Rue Bois le Vent, 75016 Paris France","4,5",30€ - 60€
Pedzouille La Grange,"4 Avenue De La Porte De La Plaine Rooftop - 8ème Étage Du Novotel Porte De Versailles, 75015 Paris France","4,5",Française
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
La Caspita,"8 Rue du Château Landon, 75010 Paris France","4,5",9€ - 21€
Bon Bouquet Café,"29 Rue de Trevise, 75009 Paris France","4,5",8€ - 13€
La Taverne de Montmartre,"25 rue Gabrielle, 75018 Paris France","4,0","Française, Européenne"
L'Acanthe,"22 Rue Saint-Martin, 75004 Paris France","4,5","Française, Européenne"
Les Artizans,"30 Rue Montorgueil, 75001 Paris France","4,5",25€ - 60€
Pierre Sang on Gambey,"6 Rue Gambey, 75011 Paris France","4,5",25€ - 49€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Le Galopin de LuLu,"Bastille 24 rue des Taillandiers, 75011 Paris France","4,5","Française, Européenne"
Da Franco,"21 Rue Ruhmkorff, 75017 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
Les Darons,"104 rue Caulaincourt, 75018 Paris France","4,5","Française, Bar à vins"
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
La Petite Bouclerie,"33 rue de la Harpe, 75005 Paris France","4,5",Française
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France","4,0",10€ - 25€
Bistrot 31,"31, Avenue Theophile Gautier, 75016 Paris France","4,5","Française, Européenne"
L'Artisan Libanais,"91 rue de Belleville, 75019 Paris France","4,5",5€ - 20€
Restaurant italien la gourmandise,"28 rue Augereau, 75007 Paris France","4,5","Italienne, Pizza, Méditerranéenne, Européenne"
la Massara,"70 rue de Turbigo, 75003 Paris France","4,5",16€ - 35€
Cocorico,"5 Rue du Bac, 75007 Paris France","4,5",20€ - 40€
Aupa Caminito,"48-50 Rue du Dessous des Berges Angle 31 Rue Cantagrel, 75013 Paris France","4,5",5€ - 25€
Chez Vincent,"56 rue Saint Georges, 75009 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Italie du Centre"
Bistrotters,"9 rue Decres, 75014 Paris France","4,5",15€ - 45€
L'Aller Retour,"5 rue Charles Francois Dupuis, 75003 Paris France","4,5",28€ - 55€
Comptoir de La Gastronomie,"34, Rue Montmartre, 75001 Paris France","4,5",25€ - 40€
Augustin Bistrot,"79 rue Daguerre, 75014 Paris France","4,5","Française, Européenne, Saine, Brasserie gastronomique"
Le Bistrot Des Campagnes,"6 Rue Léopold Robert, 75014 Paris France","4,5",12€ - 32€
Cocotte Et Vins,"1 Rue Fulton, 94210 Saint-Maur-des-Fossés France","4,5",16€ - 40€
Les Antiquaires,"13 Rue du Bac, 75007 Paris France","4,5",11€ - 25€
Chez Paolo,"21 rue Pierre Fontaine, 75009 Paris France","4,5","Italienne, Méditerranéenne, Européenne"
Hanoi Cà Phê,"15 Parvis de la Defense Les 4 Temps, 92800 Puteaux, La Defense France","4,0","Asiatique, Thaï, Fusion, Indonésienne, Vietnamienne"
Accents Table Bourse,"24 Rue Feydeau, 75002 Paris France","4,5","Française, Européenne, Fusion, Diner"
Restaurant Issy Guinguette,"113 Bis Avenue de Verdun, 92130 Issy-les-Moulineaux France","4,5",27€ - 50€
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Café Varenne,"36 Rue de Varenne, 75007 Paris France","4,5","Française, Café, Européenne"
Popu Bistro à Pizza,"12 rue du Champ de Mars, 75007 Paris France","4,5",7€ - 16€
A l'Affiche,"48 rue de Moscou, 75008 Paris France","4,5",16€ - 35€
Dandy Kitchen,"86 rue Saint Denis Dandy Hotel & Kitchen, 75001 Paris France","4,0",22€ - 51€
La Promenade,"32 Avenue Daumesnil, 75012 Paris France","4,5",12€ - 30€
Le Petit Nuage,"51 Rue Basfroi, 75011 Paris France","5,0","Française, Européenne, Saine"
Chez Mademoiselle,"16 rue Charlemagne, 75004 Paris France","4,5",15€ - 30€
tama-sushi,"19 rue d Antin, 75002 Paris France","4,5",14€ - 34€
Massawa,"22 rue du Chateau Landon 75010, 75010 Paris France","4,5","Africaine, Éthiopienne"
Bistro S,"7 rue Saint Nicolas, 75012 Paris France","4,5",20€ - 75€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Cafe de la Butte,"71 rue Caulaincourt, 75018 Paris France","4,5","Française, Européenne"
Le Coq et l'Elephant,"1 rue des Fosses Saint Marcel, 75005 Paris France","5,0","Française, Européenne, Asiatique, Thaï, Saine"
Don Camilo,"10, Rue des Saints-Peres Saint-Germain des Pres, 75007 Paris France","4,5",49€ - 146€
Huitrerie Regis,"3 rue Montfaucon, 75006 Paris France","4,5",26€ - 35€
IL Gigolo,"11 rue de la Huchette, 75005 Paris France","4,0","Italienne, Pizza, Européenne, Toscane, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
Les Grillades de Buenos Aires,"54 rue du Montparnasse metro Edgard Quinet, 75014 Paris France","4,5",39€ - 155€
Tesoro D'italia,"7 Rue Rougemont, 75009 Paris France","4,5",15€ - 30€
Mondol Kiri,"159 avenue de Choisy, 75013 Paris France","4,5","Asiatique, cambodgienne"
U Mulinu,"28 Boulevard de l'Hôpital, 75005 Paris France","4,5",9€ - 22€
Restaurant Pourquoi Pas?,"52, Boulevard Alsace-Lorraine, 94170 Le Perreux-sur-Marne France","4,5",9€ - 120€
