Nom,price,time,adress,Open,Close
Passage Couvert Vendôme Paris III,0.0,0.0,"16 Rue Béranger, 75003 Paris France",9.0,21.0
La statue La Seine,0.0,0.0,Tout afficher,9.0,21.0
La Statue Diane,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Carré d'artistes Saint Germain,0.0,0.0,"66 rue St André des Arts, 75006 Paris France",11.0,0.0
La Comédie Saint-Michel,0.0,0.0,"95 Boulevard Saint Michel, 75005 Paris France",10.0,23.3
La Bruyère,0.0,0.0,"5 rue la Bruyere 9th, 75009 Paris France",9.0,21.0
Square Maurice Kriegel Valrimont,0.0,0.0,"1 Square de Clignancourt, 75018 Paris France",9.0,21.0
Eglise Notre Dame d'Esperance,0.0,0.0,"47 rue de la Roquette, 75011 Paris France",9.0,21.0
Sculpture La Foule,0.0,0.0,"1 Jardin des Tuileries Au Pied des Escaliers Menant au Jeu de Paume, 75001 Paris France",9.0,21.0
Ecole des danses latines tropicales,0.0,0.0,"40 rue de Citeaux, 75012 Paris France",10.3,22.3
Statue Thomas Paine,0.0,0.0,"2 rue Gazan Parc Montsouris, 75014 Paris France",9.0,21.0
La Statue d'Edouard VII,0.0,0.0,"10 Place Edouard VII, 75009 Paris France",9.0,21.0
Emilio Robba,0.0,0.0,"29 Galerie Vivienne 29/33 Galerie Vivienne, 75002 Paris France",9.0,21.0
Fontaine de la Croix-du-Trahoir,0.0,0.0,"Rue de l'Arbre Sec Rue Saint-Honoré, 75001 Paris France",9.0,21.0
"Statue ""Les Continents"" : ""L'Océanie""",0.0,0.0,"Rue de Lille Parvis du Musée d'Orsay, 75007 Paris France",9.0,21.0
Statue Cassandre se mettant sous la protection de Pallas,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Universités Pierre et Marie Curie,0.0,0.0,"4 Place Jussieu, 75252 Paris France",9.0,21.0
"La statue ""Diane à la biche""",0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Monument au General Mangin,0.0,0.0,"Place du President Mithouard, 75007 Paris France",9.0,21.0
La Cariatide,0.0,0.0,"57 rue de Turbigo, 75003 Paris France",0.0,23.59
Le Monument aux Étudiants Résistants,0.0,0.0,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",9.0,21.0
Sculpture Standing Woman,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
"La statue ""Tigresse apportant un paon à ses petits""",0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Cathédrale Notre-Dame-du-Liban,0.0,0.0,"15-17 Rue d'Ulm, 75005 Paris France",9.0,21.0
Quartier de l'Ancien Cloître,0.0,0.0,"Rue du Cloître-Notre-Dame, 75004 Paris France",7.45,18.45
Statue de Lille,0.0,0.0,"Place de la Concorde, 75008 Paris France",9.0,21.0
Stèle en hommage aux Goumiers marocains,0.0,0.0,"1 Place Denys Cochin, 75007 Paris France",9.0,21.0
La Statue La Loire Et Le Loiret,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Monument Waldeck Rousseau,0.0,0.0,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",9.0,21.0
Théâtre La Cachette,0.0,2.0,"124, avenue d’Italie, 75013 Paris France",9.0,17.3
Palais d'Iéna,0.0,0.0,"9 Place d'Iéna, 75116 Paris France",9.0,21.0
Fontaine de la Place Saint Georges,0.0,0.0,"Place Saint Georges, 75009 Paris France",9.0,21.0
Fresque d'Ernesto Novo,0.0,0.0,"64 rue du Moulin des Pres, 75013 Paris France",9.0,21.0
Statue l'Hiver,0.0,0.0,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",9.0,21.0
Église Saint-Philippe-du-Roule,0.0,0.0,"Rue du Faubourg Saint-Honore North of a Paris Metro station on Line 9 that bears the same name as the church, Saint-Philippe-du-Roule, 75008 Paris France",9.0,21.0
La Colonne Médicis,0.0,0.0,"2 Rue de Viarmes, 75001 Paris France",9.0,21.0
Monument Fontaine Eugene Delacroix,0.0,0.0,"Jardin du Luxembourg cote Orangerie, 75006 Paris France",9.0,21.0
Théâtre de Poche-Montparnasse,0.0,0.0,"75 boulevard du Montparnasse, 75006 Paris France",9.0,21.0
Statue de Bernard Palissy,0.0,0.0,"Square Felix Desruelles, 75006 Paris France",9.0,21.0
Fontaine de Jarente,0.0,0.0,"2 impasse de la Poissonnerie, 75004 Paris France",9.0,21.0
Statue de Flore,0.0,0.0,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",9.0,21.0
Bassin Octogonal,0.0,0.0,"Jardin des Tuilleries, 75001 Paris France",9.0,21.0
Fontaine La Seine et ses Affluents,0.0,0.0,"Avenue du Général Eisenhower, 75008 Paris France",9.0,21.0
"Statue ""La Seine et la Marne""",0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Sentier Nature du 16 eme,0.0,0.0,"Boulevard de Beauséjour, 75016 Paris France",9.0,21.0
Square Alban Satragne,0.0,2.0,"11 Square Alban Satragne, 75010 Paris France",9.0,21.0
Chateau de la Reine Blanche,0.0,2.0,"6 rue Gustave Geffroy, 75013 Paris France",9.0,21.0
La Statue de Blanche de Castille,0.0,0.0,"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France",9.0,21.0
La Statue Cincinnatus,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
La Nymphe,0.0,0.0,"Jardin du Carrousel, 75001 Paris France",9.0,21.0
Bas-relief de la rue du Faubourg Montmartre,0.0,0.0,"21 rue du Faubourg Montmartre, 75009 Paris France",9.0,21.0
La Comédie Statue,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Église Notre Dame de Bonne Nouvelle,0.0,0.0,"25 rue de la Lune, 75002 Paris France",9.0,21.0
Statue d'Alfred de Musset,0.0,0.0,Tout afficher,9.0,21.0
Eglise Saint André de l'Europe,0.0,0.0,"24 Bis Rue de Saint Petersbourg, 75008 Paris France",9.0,21.0
La Fontaine Louvois,0.0,0.0,Visiter le site web,9.0,21.0
Statue Honore de Balzac,0.0,0.0,"1 Place Georges Guillaumin, 75008 Paris France",9.0,21.0
Les Fontaines du Rond-point des Champs-Elysées,0.0,0.0,"Rond-Point des Champs-Élysées, 75008 Paris France",0.0,23.59
Eglise Saint Jacques du Haut Pas,0.0,2.0,"252 rue Saint Jacques, 75005 Paris France",9.0,21.0
Cloître des Billettes,0.0,0.0,"24 rue des Archives, 75004 Paris France",9.0,21.0
Bibliothèque américaine,0.0,0.0,"10 rue du General Camou 7th, 75007 Paris France",13.0,19.0
Jardin du Ranelagh,0.0,2.0,"1 Avenue Prudhon, 75016 Paris France",9.0,21.0
Institut Suédois,0.0,0.0,"11 rue Payenne, 75003 Paris France",9.0,21.0
Hôtel Drouot,0.0,3.0,"9 rue Drouot, 75009 Paris France",9.0,21.0
Lost in Frenchlation,0.0,3.0,Visiter le site web,9.0,21.0
Place des Fêtes,0.0,0.0,Visiter le site web,9.0,21.0
Statue Equestre d'Albert 1 er,0.0,0.0,"Cours la Reine, 75008 Paris France",9.0,21.0
Boom Boom Villette,0.0,0.0,"30 Avenue Corentin Cariou, 75019 Paris France",10.0,1.0
Péniche café librairie L'eau Et Les Rêves,0.0,0.0,"Face au 9 Quai de l'Oise, 75019 Paris France",12.0,20.0
Goutte d'or,0.0,3.0,Tout afficher,9.0,21.0
Statue d'Haussmann,0.0,0.0,"Angle Boulevard Haussmann Angle boulevard Haussmann et rue de Laborde, 75008 Paris France",0.0,23.59
Quartier des Batignolles,0.0,3.0,"Rue De Levis 77 Place du Dr Felix Lobligeois, 75017 Paris France",9.0,21.0
Supreme,0.0,0.0,"20 Rue Barbette, 75003 Paris France",0.0,18.0
Bourse du Commerce,18.5,2.0,"2 Rue de Viarmes, 75001 Paris France",11.0,19.0
Passage des Princes,0.0,0.0,"5 Boulevard des Italiens 97 Rue de Richelieu, 75002 Paris France",9.0,21.0
Théâtre des Bouffes du Nord,0.0,0.0,"37 B boulevard de la Chapelle, 75010 Paris France",9.0,21.0
Théâtre Hébertot/Petit Hébertot,0.0,0.0,"78 B boulevard des Batignolles 17th, 75017 Paris France",11.0,15.0
Rue Mallet-Stevens,0.0,0.0,Tout afficher,9.0,21.0
La France Renaissante,0.0,0.0,Tout afficher,9.0,21.0
Galerie de Medicis,0.0,0.0,"18 Place des Vosges Place des Vosges, 75004 Paris France",9.0,21.0
La Ruche,0.0,0.0,"2 Passage de Dantzig, 75015 Paris France",9.0,21.0
Place Stalingrad,0.0,0.0,Tout afficher,9.0,21.0
Pont au Double,0.0,0.0,"Promenade Maurice Careme, 75004 Paris France",9.0,21.0
